ambulance_id,facility_id,driver_name,status,district
AMB0001,FAC0242,Tushar More,Available,Jalgaon
AMB0002,FAC0091,Rajesh Desai,Available,Dhule
AMB0003,FAC0038,Rajesh Lokhande,Busy,Ahmednagar
AMB0004,FAC0272,Amit Deshpande,Busy,Jalgaon
AMB0005,FAC0073,Sanjay Desai,Available,Latur
AMB0006,FAC0024,Rahul Joshi,Available,Dhule
AMB0007,FAC0111,Abhijit Kamble,Busy,Jalgaon
AMB0008,FAC0297,Rahul Kulkarni,Available,Pune
AMB0009,FAC0246,Deepak Gaikwad,Available,Mumbai
AMB0010,FAC0222,Akash Kamble,Busy,Sangli
AMB0011,FAC0143,Varun Bhosale,Available,Jalgaon
AMB0012,FAC0002,Vijay Kumar,Available,Nagpur
AMB0013,FAC0296,Kiran Mane,Maintenance,Solapur
AMB0014,FAC0061,Suresh Yadav,Busy,Nashik
AMB0015,FAC0294,Swapnil Bhosale,Available,Jalgaon
AMB0016,FAC0135,Amit Gaikwad,Available,Solapur
AMB0017,FAC0055,Rohit Kulkarni,Busy,Kolhapur
AMB0018,FAC0049,Anil Lokhande,Maintenance,Ahmednagar
AMB0019,FAC0179,Suresh Jadhav,Busy,Pune
AMB0020,FAC0015,Tushar Pawar,Busy,Dhule
AMB0021,FAC0289,Omkar Raut,Busy,Dhule
AMB0022,FAC0031,Rajesh Sharma,Maintenance,Sangli
AMB0023,FAC0222,Nitin Lokhande,Busy,Sangli
AMB0024,FAC0130,Manoj Pawar,Busy,Kolhapur
AMB0025,FAC0149,Omkar Pawar,Busy,Jalgaon
AMB0026,FAC0107,Vishal Deshpande,Available,Latur
AMB0027,FAC0147,Yogesh More,Available,Jalgaon
AMB0028,FAC0154,Ganesh Gaikwad,Available,Aurangabad
AMB0029,FAC0246,Ajay Bhosale,Busy,Mumbai
AMB0030,FAC0167,Amit Singh,Available,Ahmednagar
AMB0031,FAC0092,Swapnil Waghmare,Available,Jalgaon
AMB0032,FAC0070,Nitin Tiwari,Available,Solapur
AMB0033,FAC0233,Akash Pawar,Busy,Satara
AMB0034,FAC0206,Ravi Mane,Available,Ahmednagar
AMB0035,FAC0169,Rajesh Pawar,Available,Satara
AMB0036,FAC0228,Varun Sharma,Available,Satara
AMB0037,FAC0157,Nitin Mishra,Busy,Satara
AMB0038,FAC0126,Pawan Waghmare,Available,Amravati
AMB0039,FAC0286,Pawan Waghmare,Busy,Kolhapur
AMB0040,FAC0250,Akash Raut,Available,Nashik
AMB0041,FAC0262,Yogesh Gupta,Available,Sangli
AMB0042,FAC0138,Swapnil Sharma,Available,Nashik
AMB0043,FAC0088,Swapnil Joshi,Maintenance,Dhule
AMB0044,FAC0227,Ravi Joshi,Available,Latur
AMB0045,FAC0132,Nilesh Tiwari,Available,Ahmednagar
AMB0046,FAC0043,Amit Bhosale,Available,Raigad
AMB0047,FAC0195,Pawan Kamble,Busy,Kolhapur
AMB0048,FAC0085,Varun Kadam,Busy,Aurangabad
AMB0049,FAC0196,Prakash More,Busy,Sangli
AMB0050,FAC0145,Suresh Singh,Available,Mumbai
AMB0051,FAC0113,Vijay Gupta,Available,Latur
AMB0052,FAC0073,Rahul Bhosale,Available,Latur
AMB0053,FAC0040,Pawan Raut,Available,Ahmednagar
AMB0054,FAC0053,Akash Jadhav,Available,Kolhapur
AMB0055,FAC0144,Ajay Tiwari,Busy,Solapur
AMB0056,FAC0234,Amit Surve,Available,Nagpur
AMB0057,FAC0187,Vikram Joshi,Maintenance,Dhule
AMB0058,FAC0150,Varun Kadam,Available,Ahmednagar
AMB0059,FAC0184,Prakash Patil,Available,Nashik
AMB0060,FAC0108,Rajesh Pawar,Maintenance,Aurangabad
AMB0061,FAC0041,Rahul Raut,Available,Aurangabad
AMB0062,FAC0166,Sachin Bhosale,Available,Solapur
AMB0063,FAC0227,Omkar Gaikwad,Maintenance,Latur
AMB0064,FAC0047,Omkar Gaikwad,Available,Nashik
AMB0065,FAC0024,Vishal Kumar,Busy,Dhule
AMB0066,FAC0237,Anil Shah,Available,Dhule
AMB0067,FAC0231,Rajesh Lokhande,Maintenance,Aurangabad
AMB0068,FAC0256,Ajay Patil,Available,Solapur
AMB0069,FAC0054,Pawan Surve,Busy,Jalgaon
AMB0070,FAC0228,Sanjay Waghmare,Available,Satara
AMB0071,FAC0247,Tushar Yadav,Busy,Satara
AMB0072,FAC0043,Omkar Raut,Busy,Raigad
AMB0073,FAC0051,Nitin Raut,Maintenance,Ahmednagar
AMB0074,FAC0290,Ravi Lokhande,Available,Nashik
AMB0075,FAC0283,Varun Kamble,Available,Dhule
AMB0076,FAC0082,Vishal Gupta,Busy,Dhule
AMB0077,FAC0008,Rahul Lokhande,Available,Latur
AMB0078,FAC0269,Ganesh Sawant,Available,Sangli
AMB0079,FAC0219,Dinesh Kadam,Available,Sangli
AMB0080,FAC0161,Swapnil Jadhav,Maintenance,Sangli
AMB0081,FAC0139,Ajay Sawant,Available,Satara
AMB0082,FAC0022,Omkar Salve,Busy,Satara
AMB0083,FAC0043,Vijay Chavan,Busy,Raigad
AMB0084,FAC0016,Tushar Desai,Maintenance,Ahmednagar
AMB0085,FAC0174,Amit Jadhav,Busy,Raigad
AMB0086,FAC0125,Dinesh Jadhav,Busy,Amravati
AMB0087,FAC0293,Prakash Sharma,Maintenance,Nagpur
AMB0088,FAC0209,Amit Chavan,Maintenance,Nashik
AMB0089,FAC0247,Ganesh Sharma,Busy,Satara
AMB0090,FAC0141,Tushar Surve,Maintenance,Latur
AMB0091,FAC0254,Nilesh Sharma,Available,Nagpur
AMB0092,FAC0026,Swapnil Sawant,Available,Jalgaon
AMB0093,FAC0258,Omkar Raut,Available,Jalgaon
AMB0094,FAC0077,Prakash Deshpande,Available,Nashik
AMB0095,FAC0140,Ravi More,Available,Amravati
AMB0096,FAC0134,Abhijit Desai,Available,Dhule
AMB0097,FAC0135,Nitin Singh,Busy,Solapur
AMB0098,FAC0213,Abhijit Shinde,Busy,Sangli
AMB0099,FAC0252,Prakash Kamble,Available,Sangli
AMB0100,FAC0055,Vishal Joshi,Available,Kolhapur
AMB0101,FAC0256,Suresh Tiwari,Available,Solapur
AMB0102,FAC0288,Rohit Chavan,Busy,Mumbai
AMB0103,FAC0196,Amit Mane,Maintenance,Sangli
AMB0104,FAC0011,Vijay Shah,Available,Pune
AMB0105,FAC0170,Rajesh Surve,Available,Mumbai
AMB0106,FAC0286,Ravi Kadam,Available,Kolhapur
AMB0107,FAC0281,Ganesh Kamble,Maintenance,Jalgaon
AMB0108,FAC0024,Anil Salve,Busy,Dhule
AMB0109,FAC0047,Yogesh Bhosale,Maintenance,Nashik
AMB0110,FAC0143,Vishal Kulkarni,Busy,Jalgaon
AMB0111,FAC0134,Abhijit Kulkarni,Busy,Dhule
AMB0112,FAC0253,Tushar Yadav,Available,Kolhapur
AMB0113,FAC0276,Amit Kumar,Available,Aurangabad
AMB0114,FAC0023,Vijay Sawant,Busy,Mumbai
AMB0115,FAC0117,Vikram Gupta,Available,Aurangabad
AMB0116,FAC0213,Abhijit Raut,Available,Sangli
AMB0117,FAC0262,Anil Raut,Busy,Sangli
AMB0118,FAC0228,Amit Bhosale,Available,Satara
AMB0119,FAC0033,Santosh Singh,Busy,Sangli
AMB0120,FAC0259,Suresh Bhosale,Available,Nagpur
AMB0121,FAC0003,Vikram Kadam,Busy,Dhule
AMB0122,FAC0041,Vikram Yadav,Available,Aurangabad
AMB0123,FAC0220,Rohit Jadhav,Maintenance,Kolhapur
AMB0124,FAC0113,Santosh Mane,Busy,Latur
AMB0125,FAC0079,Nitin Surve,Available,Nagpur
AMB0126,FAC0240,Ganesh Lokhande,Busy,Sangli
AMB0127,FAC0025,Prakash Salve,Available,Jalgaon
AMB0128,FAC0236,Tushar Jadhav,Available,Nashik
AMB0129,FAC0015,Tushar Deshpande,Available,Dhule
AMB0130,FAC0042,Pawan Chavan,Busy,Kolhapur
AMB0131,FAC0179,Abhijit Shinde,Busy,Pune
AMB0132,FAC0275,Yogesh Patil,Available,Aurangabad
AMB0133,FAC0230,Dinesh Deshpande,Busy,Aurangabad
AMB0134,FAC0092,Sachin Bhosale,Maintenance,Jalgaon
AMB0135,FAC0186,Vikram Lokhande,Available,Nagpur
AMB0136,FAC0220,Dinesh Deshpande,Available,Kolhapur
AMB0137,FAC0024,Santosh Lokhande,Available,Dhule
AMB0138,FAC0048,Varun Singh,Available,Nagpur
AMB0139,FAC0091,Rohit Mishra,Available,Dhule
AMB0140,FAC0061,Anil Pawar,Available,Nashik
AMB0141,FAC0078,Suresh Mane,Available,Nagpur
AMB0142,FAC0091,Vishal Mane,Busy,Dhule
AMB0143,FAC0274,Ajay Pawar,Available,Dhule
AMB0144,FAC0238,Dinesh Salve,Busy,Sangli
AMB0145,FAC0028,Yogesh Joshi,Busy,Kolhapur
AMB0146,FAC0053,Ravi Gupta,Busy,Kolhapur
AMB0147,FAC0177,Akash Shah,Busy,Amravati
AMB0148,FAC0147,Pawan Waghmare,Busy,Jalgaon
AMB0149,FAC0201,Akash Singh,Busy,Solapur
AMB0150,FAC0277,Rahul Jadhav,Available,Ahmednagar
AMB0151,FAC0085,Prakash Mishra,Available,Aurangabad
AMB0152,FAC0067,Amit Nair,Available,Aurangabad
AMB0153,FAC0050,Vishal Patil,Busy,Solapur
AMB0154,FAC0277,Amit Kulkarni,Available,Ahmednagar
AMB0155,FAC0020,Tushar Jadhav,Busy,Amravati
AMB0156,FAC0087,Pawan Desai,Busy,Satara
AMB0157,FAC0204,Pawan Gaikwad,Available,Nagpur
AMB0158,FAC0116,Yogesh Mane,Maintenance,Nashik
AMB0159,FAC0181,Yogesh Raut,Busy,Nashik
AMB0160,FAC0163,Suresh Kadam,Available,Dhule
AMB0161,FAC0194,Abhijit Jadhav,Available,Dhule
AMB0162,FAC0212,Manoj Shah,Available,Jalgaon
AMB0163,FAC0178,Rohit Kamble,Available,Latur
AMB0164,FAC0099,Ganesh Kamble,Maintenance,Amravati
AMB0165,FAC0068,Abhijit Mane,Available,Sangli
AMB0166,FAC0193,Sachin Deshpande,Available,Satara
AMB0167,FAC0074,Tushar Desai,Busy,Dhule
AMB0168,FAC0092,Prakash Kamble,Available,Jalgaon
AMB0169,FAC0024,Tushar Nair,Maintenance,Dhule
AMB0170,FAC0011,Ganesh Sharma,Available,Pune
AMB0171,FAC0225,Rohit Tiwari,Maintenance,Dhule
AMB0172,FAC0105,Omkar Raut,Busy,Raigad
AMB0173,FAC0287,Nilesh Surve,Available,Solapur
AMB0174,FAC0275,Dinesh Pawar,Busy,Aurangabad
AMB0175,FAC0148,Yogesh Shinde,Busy,Ahmednagar
AMB0176,FAC0027,Kiran Patil,Available,Nashik
AMB0177,FAC0166,Rohit Bhosale,Available,Solapur
AMB0178,FAC0124,Swapnil Kumar,Busy,Latur
AMB0179,FAC0289,Ajay Patil,Busy,Dhule
AMB0180,FAC0142,Santosh Desai,Available,Nagpur
AMB0181,FAC0161,Omkar Yadav,Busy,Sangli
AMB0182,FAC0001,Pawan Nair,Busy,Aurangabad
AMB0183,FAC0255,Yogesh Desai,Available,Satara
AMB0184,FAC0290,Swapnil Kamble,Busy,Nashik
AMB0185,FAC0241,Rajesh Sharma,Busy,Nagpur
AMB0186,FAC0146,Deepak Waghmare,Busy,Latur
AMB0187,FAC0027,Kiran Chavan,Maintenance,Nashik
AMB0188,FAC0284,Omkar Gaikwad,Available,Satara
AMB0189,FAC0241,Rahul Kulkarni,Available,Nagpur
AMB0190,FAC0272,Akash Patil,Available,Jalgaon
AMB0191,FAC0234,Santosh Salve,Available,Nagpur
AMB0192,FAC0097,Rahul Gupta,Maintenance,Mumbai
AMB0193,FAC0025,Prakash Surve,Busy,Jalgaon
AMB0194,FAC0026,Yogesh Kamble,Available,Jalgaon
AMB0195,FAC0280,Dinesh Sawant,Maintenance,Mumbai
AMB0196,FAC0169,Deepak Deshpande,Available,Satara
AMB0197,FAC0278,Sachin Mishra,Available,Ahmednagar
AMB0198,FAC0145,Ravi Deshpande,Available,Mumbai
AMB0199,FAC0196,Ravi Joshi,Available,Sangli
AMB0200,FAC0167,Tushar Patil,Available,Ahmednagar
AMB0201,FAC0177,Prakash Gaikwad,Available,Amravati
AMB0202,FAC0190,Pawan Kulkarni,Maintenance,Solapur
AMB0203,FAC0185,Vijay Sawant,Busy,Dhule
AMB0204,FAC0029,Suresh Pawar,Available,Latur
